prix_fcfa,superficie_m2,nombre_pieces,nombre_salles_bain,jardin,piscine,parking,terrasse,cuisineEquipee,securisee,balcon,cite,meuble,basse,duplex,triplex
180000000.0,500.0,8.0,6.0,1,0,1,1,1,0,0,1,1,0,1,0
170000000.0,400.0,6.0,5.0,0,0,1,0,1,0,0,1,1,0,1,0
95000000.0,250.0,4.0,3.0,1,0,1,1,1,1,0,1,1,1,0,0
620000000.0,998.0,9.0,8.0,1,0,0,0,0,0,0,1,0,1,0,0
350000000.0,300.0,6.0,6.0,0,0,0,0,0,0,0,1,1,0,1,0
220000000.0,300.0,4.0,2.0,1,0,1,1,0,1,0,1,0,1,0,0
250000000.0,390.0,5.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0
75000000.0,210.0,4.0,2.0,0,0,0,0,1,0,0,1,1,1,0,0
250000000.0,303.0,5.0,5.0,0,0,0,0,0,1,0,1,0,0,1,0
430000000.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,0,1,0
350000000.0,300.0,6.0,6.0,0,0,0,0,0,0,0,1,1,0,1,0
350000000.0,300.0,6.0,6.0,0,0,1,0,1,0,0,1,1,0,1,0
420000000.0,617.0,9.0,9.0,1,0,1,0,1,0,0,1,1,0,1,0
180000000.0,300.0,4.0,4.0,1,0,0,0,0,0,0,0,0,1,0,0
350000000.0,800.0,10.0,8.0,1,1,1,0,0,0,0,0,0,0,1,0
900000000.0,800.0,6.0,5.0,1,1,0,1,1,0,0,0,1,0,1,0
350000000.0,300.0,6.0,5.0,0,0,1,0,1,0,0,0,1,0,1,0
220000000.0,300.0,5.0,5.0,0,1,0,1,1,0,0,0,1,0,1,0
